NUMBER,TIMES PULLED,TYPE,SHINY,TEAM,NATION,NAME
1,0,SPECIAL,YES,ND,ND,CAMPIONATO SERIE A TIM
2,0,SPECIAL,YES,ND,ND,TROFEO SERIE A TIM
3,0,SPECIAL,YES,ND,ND,COPPA ITALIA FRECCIAROSSA
4,1,SPECIAL,YES,ND,ND,SUPERCOPPA FRECCIAROSSA
5,0,CREST,YES,ATALANTA,ND,ATALANTA CREST
6,1,PLAYER,NO,ATALANTA,ARGENTINA,JUAN MUSSO
7,0,PLAYER,NO,ATALANTA,ITALY,MARCO SPORTIELLO
8,0,PLAYER,NO,ATALANTA,ITALY,DAVIDE ZAPPACOSTA
9,2,PLAYER,NO,ATALANTA,ARGENTINA,JOSE PALOMINO
10,1,MANAGER,NO,ATALANTA,ITALY,GIAN PIERO GASPERINI
11,0,PLAYER,NO,ATALANTA,DENMARK,JOAKIM MAEHLE
12,0,SQUAD,NO,ATALANTA,ND,ATALANTA SQUAD
13,0,PLAYER,NO,ATALANTA,TURKEY,MERIH DEMIRAL
14,0,PLAYER,NO,ATALANTA,GERMANY,ROBIN GOSENS
15,0,PLAYER,NO,ATALANTA,ITALY,RAFAEL TOLOI
16,0,PLAYER,NO,ATALANTA,ITALY,GIUSEPPE PEZZELLA
17,0,PLAYER,NO,ATALANTA,ALBANIA,BERAT DJIMSITI
18,0,PLAYER,NO,ATALANTA,ITALY,MATTEO LOVATO
19,0,PLAYER,NO,ATALANTA,CROATIA,MARIO PASALIC
20,0,PLAYER,NO,ATALANTA,ITALY,MATTEO PESSINA
21,0,PLAYER,NO,ATALANTA,NETHERLANDS,MARTEN DE ROON
22,1,PLAYER,NO,ATALANTA,NETHERLANDS,TEUN KOOPMEINERS
23,0,PLAYER,NO,ATALANTA,UKRAINE,RUSLAN MALINOVSKYI
24,0,KIT,YES,ATALANTA,ND,ATALANTA KIT
25,0,PLAYER,NO,ATALANTA,RUSSIA,ALEKSEI MIRANCHUK
26,0,PLAYER,NO,ATALANTA,SWITZERLAND,REMO FREULER
27,0,PLAYER,NO,ATALANTA,SLOVENIA,JOSIP ILICIC
28,0,PLAYER,NO,ATALANTA,COLOMBIA,DUVÁN ZAPATA
29,0,PLAYER,NO,ATALANTA,COLOMBIA,LUIS MURIEL
30,1,PLAYER,NO,ATALANTA,ITALY,ROBERTO PICCOLI
31,0,CREST,YES,BOLOGNA,ND,BOLOGNA CREST
32,0,PLAYER,NO,BOLOGNA,POLAND,LUKASZ SKORUPSKI
33,0,PLAYER,NO,BOLOGNA,ITALY,FRANCESCO BARDI
34,1,PLAYER,NO,BOLOGNA,FRANCE,ADAMA SOUMAORO
35,0,PLAYER,NO,BOLOGNA,NETHERLANDS,MITCHELL DIJKS
36,0,MANAGER,NO,BOLOGNA,CROATIA,SINISA MIHAJLOVIC
37,0,PLAYER,NO,BOLOGNA,SCOTLAND,AARON HICKEY
38,0,SQUAD,NO,BOLOGNA,ND,BOLOGNA SQUAD
39,0,PLAYER,NO,BOLOGNA,SENEGAL,IBRAHIMA MBAYE
40,1,PLAYER,NO,BOLOGNA,BELGIUM,ARTHUR THEATE
41,1,PLAYER,NO,BOLOGNA,ITALY,KEVIN BONIFAZI
42,1,PLAYER,NO,BOLOGNA,ITALY,LORENZO DE SILVESTRI
43,0,PLAYER,NO,BOLOGNA,ITALY,ROBERTO SORIANO
44,0,PLAYER,NO,BOLOGNA,CHILE,GARY MEDEL
45,1,PLAYER,NO,BOLOGNA,SWEDEN,MATTIAS SVANBERG
46,0,PLAYER,NO,BOLOGNA,NETHERLANDS,JERDY SCHOUTEN
47,0,PLAYER,NO,BOLOGNA,NIGERIA,MICHAEL KINGSLEY
48,1,PLAYER,NO,BOLOGNA,ARGENTINA,NICOLAS DOMINGUEZ
49,0,PLAYER,NO,BOLOGNA,ITALY,EMANUEL VIGNATO
50,0,KIT,YES,BOLOGNA,ND,BOLOGNA KIT
51,0,PLAYER,NO,BOLOGNA,NETHERLANDS,SYDNEY VAN HOOIJDONK
52,1,PLAYER,NO,BOLOGNA,DENMARK,ANDREAS SKOV OLSEN
53,0,PLAYER,NO,BOLOGNA,ITALY,RICCARDO ORSOLINI
